album_id,album_comments,album_date_created,album_year_released,album_engineer,album_favorites,album_handle,album_image_file,album_images,album_information,album_listens,album_producer,album_title,album_tracks,album_type,album_url,artist_name,artist_url,tags
66,0,11/26/2008 01:50:19 AM,2009,,0,Contradiction,https://freemusicarchive.org/file/images/albums/Contradiction_-_Contradiction_-_2009113012208726.jpg,"[{'image_id': '421', 'image_file': 'https://freemusicarchive.org/file/images/artists/Au_-_2009113014448597.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '1712', 'image_file': 'https://freemusicarchive.org/file/images/artists/Au_-_2009113014449323.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>""Compositions for electronics and voice."" If one ever played around with a microphone in front of a set of speakers, you know it can create feedback. If you are not afraid and keep on holding the microphone in front of the speakers, you know you can sing through it, or scream or shout. (-<a href=""http://www.staalplaat.com/vital_archive/449.txt"" target=""_blank"">Vital Weekly, number 449, week 47</a>)</p>",1831,,Contradiction,1,Album,http://freemusicarchive.org/music/Contradiction/Contradiction/,Contradiction,http://freemusicarchive.org/music/Contradiction/,[]
67,0,11/26/2008 01:50:25 AM,2009,,0,Two_GongWire_Pieces,https://freemusicarchive.org/file/images/albums/Andy_Hayleck_-_Two_GongWire_Pieces_-_2009113011822661.jpg,"[{'image_id': '608', 'user_id': None, 'artist_id': None, 'album_id': '67', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Andy_Hayleck_-_Two_GongWire_Pieces_-_2009113011822661.jpg', 'image_title': 'albums Image', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""color:#000000;"">Two Gong/Wire Pieces presents side-long live-to-tape performances using a special system which Hayleck has invented and with which he has performed widely - bowing a long wire attached to a Chinese gong, allowing for special control of the irrational vibrations of the metal plate through careful control over the tension of the wire and place and style of bowing. The resulting masses of beating tone-forms are lakes of pools of eddies or whirlpools born from a deceptively simple and carefully considered system and a seemingly enormous pair of ears.</span></span></p>
<p><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""color:#000000;"">cover art and design by Andy Hayleck<br /></span></span></p>",858,,Two Gong/Wire Pieces,2,Album,http://freemusicarchive.org/music/Andy_Hayleck/Two_GongWire_Pieces/,Andy Hayleck,http://freemusicarchive.org/music/Andy_Hayleck/,[]
68,0,11/26/2008 01:50:46 AM,2009,,0,Make_Them_Suffer,https://freemusicarchive.org/file/images/albums/Animal_Writes_-_Make_Them_Suffer_-_2009113011828070.jpg,"[{'image_id': '379', 'user_id': None, 'artist_id': None, 'album_id': '68', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Animal_Writes_-_Make_Them_Suffer_-_2009113011828070.jpg', 'image_title': 'Album Image: Animal Writes - Make Them Suffer', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p><em>Make Them Suffer</em> was released on James Squeaky's Below PDX label out of Portland, OR.</p>
<p>""They go scrambling around in the trash, sifting clumps and globs of audio refuse, such as dribbles of feedback, scraps of rhythm and fuzy guitar tones, into a series of low-brow lo-fi rumbles"" (-via <a href=""http://www.myspace.com/awrites"" target=""_blank"">Animal Writes' Myspace page</a>).</p>",244,,Make Them Suffer,2,Album,http://freemusicarchive.org/music/Animal_Writes/Make_Them_Suffer/,Animal Writes,http://freemusicarchive.org/music/Animal_Writes/,[]
69,0,11/26/2008 01:50:50 AM,2005,,0,Arc_and_Sender,https://freemusicarchive.org/file/images/albums/Arc_and_Sender_-_Arc_and_Sender_-_2009113011849014.jpg,"[{'image_id': '381', 'user_id': None, 'artist_id': None, 'album_id': '69', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Arc_and_Sender_-_Arc_and_Sender_-_2009113011849014.jpg', 'image_title': 'Album Image: Arc and Sender - Arc and Sender', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>Self-titled debut released on Philadelphia's High Two Record label in 2005.</p>
<p>Featuring: Greg Pardew - Guitar, Baritone Guitar;          Jason Hutt - Guitar, Baritone Guitar;     Ryan Grove - Drums, occassional guitar</p>
<p>Features guest appearances by saxophonist Dan Scofield (Shot X Shot, Sonic Liberation Front) and violinist Jennifer Hutt.</p>",628,,Arc and Sender,2,Album,http://freemusicarchive.org/music/Arc_and_Sender/Arc_and_Sender/,Arc and Sender,http://freemusicarchive.org/music/Arc_and_Sender/,[]
70,0,11/26/2008 01:51:00 AM,2009,,0,unreleased_demo,https://freemusicarchive.org/img/generic/album-default-single.png,"[{'image_id': '234', 'image_file': 'https://freemusicarchive.org/file/images/artists/The_Bad_Trips_-_2009113015634277.jpg', 'image_title': 'Artist Image: The Bad Trips', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>Unreleased, unmastered but still very loud demo from Philadelphia trio Arc and Sender.</p>",197,,unreleased demo,1,Single Tracks,http://freemusicarchive.org/music/Arc_and_Sender/unreleased_demo/,Arc and Sender,http://freemusicarchive.org/music/Arc_and_Sender/,[]
71,1,11/26/2008 01:51:08 AM,2004,,0,Thee_Haunted_Cobblestone_Sunset_Concert_Series_7,https://freemusicarchive.org/file/images/albums/Area_C_-_Thee_Haunted_Cobblestone_Sunset_Concert_Series_7_-_2009113011851057.jpg,"[{'image_id': '382', 'user_id': None, 'artist_id': None, 'album_id': '71', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Area_C_-_Thee_Haunted_Cobblestone_Sunset_Concert_Series_7_-_2009113011851057.jpg', 'image_title': 'Album Image: Area C - Thee Haunted Cobblestone Sunset Concert Series #7', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>Recorded August 20, 2004.</p>
<p>Area C performed from the 3rd floor window of Raphael Lyon's (Mudboy) apartment on the west side of Providence. Sound intermixes with cars, bikes, birds, etc.</p>
<p>Solo performance by Erik with guitar, farfisa synthorchestra, sde-1000, dr-30, d-20 and lots of cables strung about.</p>
<p>-----</p>
<p><em>About </em><strong><em>Thee Haunted Cobblestones Sunset Concert Series:</em> </strong>Ending at sunset with the first recording and beginning at   sunset with the last recording- individuals play what they will out the third   floor window   on a desolate cobblestone street in the last days of the summer. Attendees   listen street-side, eating tacos or stretched out on the concrete. Stereo   recordings made in a single take- screaming kids, violent cars- sirens and   animals to be considered as collaborators.</p>",1845,,Thee Haunted Cobblestone Sunset Concert Series #7,13,Live Performance,http://freemusicarchive.org/music/Area_C/Thee_Haunted_Cobblestone_Sunset_Concert_Series_7/,Area C,http://freemusicarchive.org/music/Area_C/,[]
72,0,11/26/2008 01:51:48 AM,2008,,0,Boss_of_Goth,https://freemusicarchive.org/file/images/albums/Argumentix_-_Boss_of_Goth_-_2009113011851413.jpg,"[{'image_id': '389', 'user_id': None, 'artist_id': None, 'album_id': '72', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Argumentix_-_Boss_of_Goth_-_2009113011851413.jpg', 'image_title': 'Album Image: Argumentix - Boss of Goth', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p><em>from James' <a href=""http://www.belowpdx.com/store/"">website</a>:</em></p>
<p>""This is the first album I wish to be remembered by. Recorded through a bleak year of my life, 2006, Boss of Goth is an album of power-mourning, demon-fighting and vengeance-fucking. Trapped inside despair over the death of true love, childhood, and joy, I have always clung voraciously to a promise of a better tomorrow. I finished this album in March of 2007 and held on to it until now to make sure I would still love it enough to make 500 of them.<br /><br />Boss of Goth includes industrial punk and pop style songs with occasional fleeting dance beats and bursts of harsh noise. Vocals are the central focus, creating sweet pop ballads and lurking creep-stalker punk melt-downs. A variety of microphone processing accompanying sequencers, drum machines, and tons and tons of manipulated cassette tapes. Twisted collage journeys and quick punches to the throat. A fitting comparison perhaps: To Live and Shave in LA meets Nine Inch Nails, with the spirits of Edward Ka-Spel, Suckdog, and bedroom four track. Includes 6 songs that have appeared regularly in live performances. Oh yeah, and I play piano on the last track.<br /><br />Album includes two hidden bonus tracks. The first a live performance caught at the end of my ""temper tantrum approach"" to harsh noise performance. The second is Dragging an Ox Through Water (aka Brian Mumford) singing a cover of my song ""Save Life's Golden Receipt in Case Refund Needed."" Both were recorded at Someday Lounge by Ryan Olson.<br /><br />CD comes with a 12 page booklet with lyrics. Cover art by <a href=""http://dragginganox.blogspot.com/"">Brian Mumford</a>.<br /><br />Recorded 2006<br />released June 23 2008""</p>",716,,Boss of Goth,4,Single Tracks,http://freemusicarchive.org/music/Argumentix/Boss_of_Goth/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
73,0,11/26/2008 01:51:50 AM,2007,,0,Nightmarcher,https://freemusicarchive.org/file/images/albums/Argumentix_-_Nightmarcher_-_2009113011852969.jpg,"[{'image_id': '390', 'user_id': None, 'artist_id': None, 'album_id': '73', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Argumentix_-_Nightmarcher_-_2009113011852969.jpg', 'image_title': 'Album Image: Argumentix - Nightmarcher', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]",<p>Recorded mostly on October 7 of 2006.</p>,193,,Nightmarcher,2,Single Tracks,http://freemusicarchive.org/music/Argumentix/Nightmarcher/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
74,0,11/26/2008 01:51:52 AM,2009,,0,Victim_of_Your_Life,https://freemusicarchive.org/img/generic/album-default-single.png,"[{'image_id': '7438', 'image_file': 'https://freemusicarchive.org/file/images/artists/Barnacled_-_2010040730316502.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '3746', 'image_file': 'https://freemusicarchive.org/file/images/artists/Barnacled_-_2009113014501510.jpg', 'image_title': 'artists Image', 'image_caption': 'Barnacled live at WFMU', 'image_copyright': 'CC by-nc-sa Trent Wolbe', 'image_source': None}]",<p>Unreleased.</p>,346,,Victim of Your Life,2,Single Tracks,http://freemusicarchive.org/music/Argumentix/Victim_of_Your_Life/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
75,0,11/26/2008 01:51:54 AM,2009,,0,Heir_to_the_Power_Bear_Fortune,https://freemusicarchive.org/file/images/albums/Argumentix_-_Heir_to_the_Power_Bear_Fortune_-_2009113011852157.jpg,"[{'image_id': '393', 'user_id': None, 'artist_id': None, 'album_id': '75', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Argumentix_-_Heir_to_the_Power_Bear_Fortune_-_2009113011852157.jpg', 'image_title': 'Album Image: Argumentix - Heir to the Power Bear Fortune', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>Installation Audio (for Out.Festival, Lisbon Portugal-June 2007).</p>",90,,Heir to the Power Bear Fortune,1,Single Tracks,http://freemusicarchive.org/music/Argumentix/Heir_to_the_Power_Bear_Fortune/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
76,0,11/26/2008 01:52:07 AM,2009,,0,Tarantula_Downpour_7,https://freemusicarchive.org/file/images/albums/Argumentix_-_Tarantula_Downpour_7_-_2009113011853298.jpg,"[{'image_id': '396', 'user_id': None, 'artist_id': None, 'album_id': '76', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Argumentix_-_Tarantula_Downpour_7_-_2009113011853298.jpg', 'image_title': 'Album Image: Argumentix - Tarantula Downpour 7""', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>The first vinyl release from Argumentix.<br /><br />DVDR with purchase includes 8 original animated videos, including a video for ?€?Tarantula Downpour,?€? along with songs from various other releases. They range from crude drawings and feline adventures to dense rotating patterns of melting color.</p>",149,,"Tarantula Downpour 7""",1,Single Tracks,http://freemusicarchive.org/music/Argumentix/Tarantula_Downpour_7/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
77,0,11/26/2008 01:52:09 AM,2009,,0,Dracula_Safari,https://freemusicarchive.org/img/generic/album-default-single.png,"[{'image_id': '18563', 'image_file': 'https://freemusicarchive.org/file/images/artists/Big_Blood_-_20120405141623513.jpg', 'image_title': 'Artist Image: Big Blood', 'image_caption': ' ', 'image_copyright': None, 'image_source': None}, {'image_id': '11519', 'image_file': 'https://freemusicarchive.org/file/images/artists/Big_Blood_-_20101205231046438.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '11515', 'image_file': 'https://freemusicarchive.org/file/images/artists/Big_Blood_-_20101205220038089.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '1823', 'image_file': 'https://freemusicarchive.org/file/images/artists/Big_Blood_-_2009113014508967.jpg', 'image_title': 'artists Image', 'image_caption': 'Big Blood at Tower of Song 4-3-09', 'image_copyright': '2009 Lori Dennis', 'image_source': None}]","<p>4 way split LP with Ghost to Falco, Inca Ore, Tunnels.</p>",226,,Dracula Safari,1,Single Tracks,http://freemusicarchive.org/music/Argumentix/Dracula_Safari/,Argumentix,http://freemusicarchive.org/music/Argumentix/,[]
79,0,11/26/2008 01:52:15 AM,2007,,0,Scared_Famous,https://freemusicarchive.org/file/images/albums/Ariel_Pinks_Haunted_Graffiti_-_Scared_Famous_-_2009113011857702.jpg,"[{'image_id': '398', 'user_id': None, 'artist_id': None, 'album_id': '79', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Ariel_Pinks_Haunted_Graffiti_-_Scared_Famous_-_2009113011857702.jpg', 'image_title': ""Album Image: Ariel Pink's Haunted Graffiti - Scared Famous"", 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]",<p>This Human Ear Music reissue compiles a ?€?Best Of?€? from the self-released double-cd ?€?Fast Forward/Scared Famous?€? recorded during and after ?€?Worn Copy.?€?</p>,1339,,Scared Famous,1,Album,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/Scared_Famous/,Ariel Pink's Haunted Graffiti,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/,[]
80,0,11/26/2008 01:52:18 AM,2005,,0,Worn_Copy,https://freemusicarchive.org/file/images/albums/Ariel_Pinks_Haunted_Graffiti_-_Worn_Copy_-_2009113011858629.jpg,"[{'image_id': '1126', 'image_file': 'https://freemusicarchive.org/file/images/artists/Bird_Names_-_2009113014513036.jpg', 'image_title': 'Artist Image: Bird Names', 'image_caption': 'nora on the drums', 'image_copyright': '(cc) by jason sigal', 'image_source': 'http://wfmu.org/playlists/shows/30386'}]","<p><em>Worn Copy</em> is    the history of popular music as revealed through the eyes and ears of Ariel    Pink. It?€?s an impassioned combinatory view of popular and unpopular culture    that takes in everything from The Cure, R. Stevie Moore and Amon Duul to forgotten    episodes of <em>The Gong Show</em>, <em>It's Your Move</em>, and <em>What's Happening?</em> Originally released in 2003 by the Rhystop label. (-via <a href=""http://paw-tracks.com"">paw-tracks.com</a>)</p>",5289,,Worn Copy,1,Album,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/Worn_Copy/,Ariel Pink's Haunted Graffiti,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/,[]
